category,question,option1,option2,option3,option4,correct_answer
Science,ما هي وحدة قياس التيار الكهربائي؟,فولت,أوم,واط,أمبير,أمبير
Science,ما هو أعمق بحيرة في العالم؟,بحيرة بايكال,بحيرة تنجانيقا,بحيرة سوبيريور,بحيرة فيكتوريا,بحيرة بايكال
Science,كم عدد العضلات في جسم الإنسان؟,600,650,700,639,639
Science,ما هو أسرع حيوان بحري؟,الدلفين,سمك التونة,سمك السيف,سمك المارلين,سمك المارلين
Science,ما هو أقدم حيوان على وجه الأرض؟,التمساح,السلحفاة,القرش,قنديل البحر,قنديل البحر
Science,ما هو أعمق نقطة في المحيط الهادئ؟,خندق ماريانا,خندق تونغا,خندق الفلبين,خندق ماريانا
Science,كم عدد الكروموسومات في جسم الإنسان؟,46,48,50,46
Science,ما هو أسرع حيوان في العالم؟,الفهد,الصقر,السمكة الشراعية,الصقر
Science,ما هو أعمق حيوان بحري؟,سمك أبو سيف,سمك الأنقليس,سمك الحوت,سمك الأنقليس
History,ما هو أقدم نظام كتابة في العالم؟,الهيروغليفية,المسمارية,الصينية,المسمارية
History,كم عدد اللغات الرسمية في الأمم المتحدة؟,4,5,6,6
History,من هو مؤسس علم الجبر؟,الخوارزمي,ابن سينا,الفارابي,الخوارزمي
History,ما هي أقدم مكتبة في العالم؟,مكتبة الإسكندرية,مكتبة آشوربانيبال,مكتبة بيت الحكمة,مكتبة آشوربانيبال
History,من هو مؤسس الدولة الأموية؟,معاوية بن أبي سفيان,عبد الملك بن مروان,هشام بن عبد الملك,معاوية بن أبي سفيان
History,من هو مؤلف كتاب صحيح البخاري؟,البخاري,مسلم,الترمذي,النسائي,البخاري
Geography,ما هو أعمق خندق في المحيط؟,خندق ماريانا,خندق تونغا,خندق الفلبين,خندق ماريانا
Geography,ما هي أكبر شبه جزيرة في العالم؟,شبه الجزيرة العربية,شبه جزيرة الهند,شبه جزيرة إيبيريا,شبه الجزيرة العربية
Geography,ما هو أطول نفق في العالم؟,نفق غوتهارد,نفق سيكان,نفق المانش,نفق غوتهارد
Geography,ما هي أكبر صحراء في آسيا؟,صحراء غوبي,صحراء الربع الخالي,صحراء ثار,صحراء غوبي
Geography,ما هو أطول جسر في العالم؟,جسر دانيانغ-كونشان,جسر هونغ كونغ,جسر أكاشي كايكيو,جسر دانيانغ-كونشان
Literature,من هو مؤلف كتاب الأغاني؟,الأصفهاني,الجاحظ,ابن المقفع,الأصفهاني
Literature,ما هي أشهر رواية للكاتب باولو كويلو؟,الخيميائي,11 دقيقة,الجبل الخامس,الخيميائي
Literature,من هو مؤلف كتاب العقد الفريد؟,ابن عبد ربه,الجاحظ,ابن المقفع,ابن عبد ربه
Literature,ما هي أشهر رواية للكاتب غابرييل غارسيا ماركيز؟,مائة عام من العزلة,الحب في زمن الكوليرا,خريف البطريرك,مائة عام من العزلة
Literature,من هو مؤلف كتاب الحيوان؟,الجاحظ,ابن المقفع,ابن خلدون,الجاحظ
Sports,ما هي رياضة كرة القدم؟,كرة السلة,كرة القدم,كرة الطائرة,كرة القدم
Sports,كم عدد اللاعبين في فريق كرة القدم؟,10,11,12,11
Sports,ما هي رياضة التنس؟,كرة الطائرة,التنس,الريشة,التنس
Sports,كم عدد اللاعبين في فريق كرة السلة؟,4,5,6,5
Sports,ما هي رياضة السباحة؟,برية,مائية,هوائية,مائية
Tech,ما هو نظام تشغيل الهواتف الذكية؟,ويندوز,أندرويد,ماك,أندرويد
Tech,ما هي شركة آبل؟,مايكروسوفت,آبل,سامسونج,آبل
Tech,ما هو متصفح الإنترنت؟,فوتوشوب,كروم,وورد,كروم
Tech,ما هي شبكة التواصل الاجتماعي؟,فيسبوك,إكسل,باوربوينت,فيسبوك
Tech,ما هو نظام تشغيل أجهزة آيفون؟,أندرويد,آي أو إس,ويندوز,آي أو إس
Cinema,ما هي شركة ديزني؟,نيتفليكس,ديزني,وارنر,ديزني
Cinema,من هو مخرج فيلم تيتانيك؟,سبيلبرغ,كاميرون,نولان,كاميرون
Cinema,ما هو فيلم الرسوم المتحركة؟,الأسد الملك,تيتانيك,ذا دارك نايت,الأسد الملك
Cinema,من هو بطل فيلم هاري بوتر؟,توم كروز,دانيال رادكليف,ليوناردو,دانيال رادكليف
Cinema,ما هي أكبر جائزة سينمائية؟,الغرامي,الأوسكار,البافتا,الأوسكار
Artists,من هو فنان لوحة الموناليزا؟,فان غوخ,دافنشي,بيكاسو,دافنشي
Artists,من هو مغني أغنية Thriller؟,أديل,مايكل جاكسون,بيونسيه,مايكل جاكسون
Artists,من هو مؤلف سمفونية القدر؟,بيتهوفن,موتسارت,باخ,بيتهوفن
Artists,من هو رسام لوحة ليلة النجوم؟,بيكاسو,فان غوخ,دالي,فان غوخ
Artists,من هو مؤلف لوحة الصرخة؟,بيكاسو,مونك,دالي,مونك
Political,من هو رئيس الولايات المتحدة الحالي؟,بايدن,ترامب,أوباما,بايدن
Political,ما هي عاصمة روسيا؟,كييف,موسكو,سانت بطرسبرغ,موسكو
Political,من هو رئيس فرنسا؟,ماكرون,ميركل,بوتين,ماكرون
Political,ما هي عاصمة الصين؟,طوكيو,بكين,شنغهاي,بكين
Political,من هو رئيس روسيا؟,بايدن,بوتين,ماكرون,بوتين
Countries,ما هي أكبر دولة في العالم؟,كندا,روسيا,الصين,روسيا
Countries,ما هي عاصمة مصر؟,دمشق,القاهرة,الرياض,القاهرة
Countries,ما هي عملة اليابان؟,الين,اليورو,الدولار,الين
Countries,ما هي لغة البرازيل؟,الإسبانية,البرتغالية,الفرنسية,البرتغالية
Countries,ما هي عاصمة ألمانيا؟,ميونخ,برلين,هامبورغ,برلين
General,ما هو أعمق محيط في العالم؟,المحيط الهادئ,المحيط الأطلسي,المحيط الهندي,المحيط الهادئ
General,كم عدد الدول في العالم؟,193,195,197,195
General,ما هو أطول جسر في العالم؟,جسر دانيانغ-كونشان,جسر هونغ كونغ,جسر أكاشي كايكيو,جسر دانيانغ-كونشان
General,ما هي أكبر مدينة في العالم من حيث عدد السكان؟,طوكيو,شنغهاي,مومباي,طوكيو
Islamic,ما هي أطول سورة في القرآن؟,البقرة,آل عمران,النساء,المائدة,البقرة
Islamic,كم عدد أحزاب القرآن؟,30,60,90,120,60
Islamic,من هو الصحابي الملقب بذي النورين؟,عثمان بن عفان,علي بن أبي طالب,عمر بن الخطاب,أبو بكر الصديق,عثمان بن عفان
Islamic,ما هي أول آية نزلت من القرآن؟,اقرأ باسم ربك,بسم الله الرحمن الرحيم,الحمد لله رب العالمين,الم,اقرأ باسم ربك
Islamic,من هو مؤلف كتاب فتح الباري؟,ابن حجر العسقلاني,النووي,الذهبي,ابن تيمية,ابن حجر العسقلاني
Islamic,من هو مؤلف كتاب تفسير القرآن العظيم؟,ابن كثير,الطبري,القرطبي,ابن كثير
Islamic,ما هي السورة التي تسمى سورة التوديع؟,النصر,الفتح,الحديد,النصر
Islamic,من هو الصحابي الذي لقب بترجمان القرآن؟,عبد الله بن عباس,عبد الله بن مسعود,زيد بن ثابت,عبد الله بن عباس
Islamic,ما هي السورة التي تسمى سورة القتال؟,محمد,الفتح,الحجرات,محمد
Islamic,من هو مؤلف كتاب سير أعلام النبلاء؟,الذهبي,ابن حجر,ابن كثير,الذهبي 